鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中正區,房地(土地+建物)+車位,基隆市中正區中正路４１２號３樓,49.52,住,,,1140106,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130827,224.01,4,2,2,有,有,20470000,99968,坡道平面,36.75,1750000,,RPRNMLLLKHKGFDC57DA,108.38,5.97,12.46,有,
七堵區,土地,溪頭段502地號,3.38,都市：其他:道路用地,,,1140117,土地10建物0車位0,,,其他,,,,0.0,0,0,0,無,無,61320,18142,,0.0,0,,RPQNMLTKKHKGFDC28EA,0.0,0.0,0.0,無,15
安樂區,房地(土地+建物)+車位,基隆市安樂區樂利三街８巷４７號６樓,15.19,住,,,1140113,土地4建物1車位1,六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840504,112.00999999999999,3,1,2,有,有,7000000,62494,坡道平面,0.0,0,,RPPNMLLLKHKGFDC47EA,67.08,5.33,7.75,有,
安樂區,房地(土地+建物)+車位,基隆市安樂區基金一路１１２巷１１０弄１９之７號４樓,32.79,住,,,1140116,土地3建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851213,154.54000000000002,3,2,2,有,有,7880000,50990,坡道平面,0.0,0,陽台外推；,RPORMLMKKHKGFDC67DA,94.59,0.0,12.59,有,16
中山區,房地(土地+建物)+車位,基隆市中山區復興路２３７號八樓之１０,19.01,商,,,1140122,土地1建物1車位2,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130116,182.99,3,2,2,有,有,17000000,92901,坡道平面,59.32,0,,RPXNMLOLKHKGFDC48DA,68.64,5.88,5.95,有,17
七堵區,土地,溪頭段502地號,2.88,都市：其他:道路用地,,,1140117,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,52200,18125,,0.0,0,,RPRNMLTKKHKGFDC38EA,0.0,0.0,0.0,無,18
七堵區,土地,溪頭段475地號,0.38,都市：其他:道路用地,,,1140117,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6840,0,,0.0,0,,RPSNMLTKKHKGFDC48EA,0.0,0.0,0.0,無,
七堵區,土地,溪頭段477-1地號,0.13,都市：其他:道路用地,,,1140117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2400,0,,0.0,0,,RPTNMLTKKHKGFDC58EA,0.0,0.0,0.0,無,18
信義區,房地(土地+建物),基隆市信義區義六路１８號三樓之三,45.73,商,,,1131224,土地2建物1車位0,三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020722,279.31,0,0,0,無,有,38500000,137840,,0.0,0,毛胚屋；,RPOOMLPLKIJGFDC77DA,162.95,13.86,19.82,有,20
七堵區,房地(土地+建物),基隆市七堵區永富路１１號３樓,20.43,住,,,1131225,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870608,101.61,3,2,2,有,無,8500000,83653,,0.0,0,,RPWNMLSLKIJGFDC78DA,68.33,0.0,16.04,有,21
