鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
南港區,房地(土地+建物)+車位,臺北市南港區西新里松河街,8.54,其他,,,1140123,土地1建物1車位1,十七層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.26,2,2,2,有,無,35610000,371174,坡道平面,26.73,2750000,,RPVNMLRJKHKGFDA18CB,東方大境,B棟B7-17號,
南港區,房地(土地+建物),臺北市南港區西新里松河街,8.54,其他,,,1140123,土地1建物1車位0,十九層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,88.53,2,2,2,有,無,32640000,368689,,0.0,0,,RPWNMLRJKHKGFDA28CB,東方大境,B棟B7-19號,
南港區,房地(土地+建物)+車位,臺北市南港區西新里松河街,8.54,其他,,,1140123,土地1建物1車位1,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.26,2,2,2,有,無,36200000,373885,坡道平面,26.73,3100000,,RPXNMLRJKHKGFDA38CB,東方大境,B棟B7-20號,
南港區,房地(土地+建物)+車位,臺北市南港區西新里松河街,8.54,其他,,,1140124,土地1建物1車位1,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,115.26,2,2,2,有,無,35910000,375692,坡道平面,26.73,2650000,,RPOOMLRJKHKGFDA57CB,東方大境,B棟B7-22號,
南港區,房地(土地+建物)+車位,臺北市南港區西新里松河街,10.74,其他,,,1140125,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,137.9,3,2,2,有,無,44890000,373212,坡道平面,26.73,3400000,,RPQOMLRJKHKGFDA77CB,東方大境,C棟C6-3號,
中正區,房地(土地+建物)+車位,臺北市中正區武昌街一段11號,4.9,商,,,1140123,土地13建物1車位1,六層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.98,2,2,2,有,無,29700000,384137,升降機械,8.61,1900000,1.5套衛浴,RPPNMLKKKHKGFBA76CB,漢皇城?,G棟0號,
中正區,房地(土地+建物)+車位,臺北市中正區武昌街一段11號,4.9,商,,,1140123,土地13建物1車位1,七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.98,2,2,2,有,無,29520000,387177,升降機械,8.61,1500000,1.5套衛浴,RPQNMLKKKHKGFBA86CB,漢皇城?,G棟0號,
內湖區,房地(土地+建物)+車位,臺北市內湖區麗山里環山路二段23號旁,16.24,商,,,1140124,土地6建物1車位1,十二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.12,3,2,2,有,無,44800000,343594,坡道平面,36.92,3500000,,RPPNMLKKKHKGFCA86CB,力麒·寰山,A6-12F號,
士林區,房地(土地+建物)+車位,臺北市士林區中山北路六段１８６巷１０弄１號,23.4,住,,,1140121,土地6建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.11,3,2,2,有,無,50640000,408576,坡道平面,38.51,3000000,,RPQNMLKKKHKGFEA17CB,久年松芮,A5-07F號,
北投區,房地(土地+建物)+車位,臺北市北投區洲美里福善路,27.04,住,,,1140124,土地4建物1車位1,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,174.06,3,2,2,有,無,48520000,311272,坡道平面,27.5,2900000,,RPRNMLKKKHKGFEA27CB,士科大院.,A棟3號,
萬華區,房地(土地+建物)+車位,臺北市萬華區雙園里西藏路430號,14.01,商,,,1140123,土地3建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.69,3,2,2,有,無,29450000,265316,坡道機械,21.04,1950000,都市土地使用分區/次類別名稱：第一種商業區原屬住三、住三之一。,RPQNMLLKKHKGFBA96CB,南海御景,D-9號,
松山區,房地(土地+建物)+車位,臺北市松山區南京東路五段２９１巷２９弄２３號,8.19,住,,,1140123,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,58.3,1,1,1,有,無,17230000,382388,其他,16.85,1380000,,RPPNMLLKKHKGFDA07CB,京釀,A2-4F號,
南港區,房地(土地+建物),臺北市南港區西新里松河街,8.26,其他,,,1140131,土地1建物1車位0,二十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,85.82,2,2,2,有,無,30060000,350268,,0.0,0,,RPWNMLLKKHKGFDA77CB,東方大境,B棟B11-21號,
士林區,房地(土地+建物),臺北市士林區社中街３３５號旁,22.69,住,,,1140124,土地2建物1車位0,四層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,88.0,2,2,2,有,無,20050000,227841,,0.0,0,,RPPNMLLKKHKGFEA17CB,藏樂,C-4F號,
大安區,房地(土地+建物),臺北市大安區復興南路二段140號旁,2.85,商,,,1140121,土地6建物1車位0,十一層,17,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,42.47,1,1,1,有,無,25030000,589357,,0.0,0,,RPPNMLLKKHKGFFA27CB,寶舖全健築知行,I-11F號,
大安區,房地(土地+建物)+車位,臺北市大安區復興南路二段140號旁,7.61,商,,,1140122,土地6建物1車位1,三層,17,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,127.22,3,2,2,有,無,57830000,471755,坡道平面,13.75,4300000,,RPQNMLLKKHKGFFA37CB,寶舖全健築知行,C-3F號,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路一段,13.18,住,,,1140129,土地2建物1車位1,七層,34,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,104.19,2,2,2,有,無,28110000,311087,坡道平面,22.83,2800000,,RPQNMLMKKHKGFAA96CB,元利四季莊園,A棟07F-A08號,
