鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮彰美路三段３９６之１號,33.47,,鄉村區,乙種建築用地,1100301,土地2建物1車位2,一層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131024,187.47,3,2,2,有,有,11320000,60383,坡道平面,0.0,0,,RPPRMLLKOHJGFBN88DA,80.58,0.0,3.7,有,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮彰美路三段３９８號八樓之６,24.26,,鄉村區,乙種建築用地,1100309,土地2建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131024,121.58,2,2,2,有,有,7230000,59467,坡道平面,0.0,0,,RPWOMLMKOHJGFBN76DA,55.98,0.0,5.18,有,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮彰美路三段３９２號九樓之２,36.03,,鄉村區,乙種建築用地,1100228,土地2建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131024,165.14999999999998,3,2,2,有,有,10650000,64487,坡道平面,0.0,0,,RPUNMLRKOHJGFBN96DA,82.87,0.0,7.93,有,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮彰美路三段３９８號五樓之６,24.26,,鄉村區,乙種建築用地,1100227,土地2建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131024,121.58,2,2,2,有,有,6950000,57164,坡道平面,0.0,0,原簽約人讓與人吳OO於111年03月04日讓渡受讓人蘇OO 平轉,RPSOMLOJJHKGFBN68DA,55.98,0.0,5.18,有,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮彰美路三段３９８號七樓之１,24.33,,鄉村區,乙種建築用地,1100228,土地2建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131024,121.91,2,2,2,有,有,7110000,58322,坡道平面,0.0,0,,RPTNNLLKOHJGFBN98DA,55.86,0.0,5.46,有,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮彰美路三段３９８號七樓之３,24.26,,鄉村區,乙種建築用地,1100226,土地2建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131024,121.58,2,2,2,有,有,6920000,56917,坡道平面,0.0,0,,RPTPNLLKOHJGFBN56DA,55.98,0.0,5.18,有,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮彰美路三段３９８號三樓之３,24.26,,鄉村區,乙種建築用地,1100227,土地2建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131024,121.58,2,2,2,有,有,6680000,54943,坡道平面,0.0,0,原簽約人讓與人陳OO於111年09月21日讓渡受讓人溫OO 平轉,RPWNMLOJJHKGFBN98DA,55.98,0.0,5.18,有,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮彰美路三段３９８號八樓之３,24.26,,鄉村區,乙種建築用地,1100228,土地2建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131024,121.58,2,2,2,有,有,7180000,59056,坡道平面,0.0,0,原簽約人讓與人郭OO於113年02月29日讓渡受讓人許OO 讓渡金額新台幣750萬元整,RPXNMLOJJHKGFBN09DA,55.98,0.0,5.18,有,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮彰美路三段３９８號八樓之５,24.26,,鄉村區,乙種建築用地,1100227,土地2建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131024,121.58,2,2,2,有,有,7230000,59467,坡道平面,0.0,0,原簽約人讓與人蔡OO於112年04月20日讓渡受讓人鐘OO 平轉,RPQOMLOJJHKGFBN48DA,55.98,0.0,5.18,有,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮彰美路三段３９８號九樓之５,24.26,,鄉村區,乙種建築用地,1100227,土地2建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131024,121.58,2,2,2,有,有,7180000,59056,坡道平面,0.0,0,原簽約人讓與人盧OO於110年12月17日讓渡受讓人李OO 平轉,RPROMLOJJHKGFBN58DA,55.98,0.0,5.18,有,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮彰美路三段３９８號四樓之７,24.4,,鄉村區,乙種建築用地,1100226,土地2建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131024,122.12,2,2,2,有,有,6820000,55847,坡道平面,0.0,0,,RPOQMLMKOHJGFBN78DA,56.07,0.0,5.46,有,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮彰美路三段３９８號三樓之５,24.26,,鄉村區,乙種建築用地,1100228,土地2建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131024,121.58,2,2,2,有,有,6810000,56013,坡道平面,0.0,0,原簽約人讓與人王OO於111年10月04日讓渡受讓人吳OO 平轉,RPOOMLOJJHKGFBN28DA,55.98,0.0,5.18,有,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮彰美路三段３９８號六樓之７,24.4,,鄉村區,乙種建築用地,1100227,土地2建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131024,122.12,2,2,2,有,有,7030000,57566,坡道平面,0.0,0,原簽約人讓與人黃OO於113年04月16日讓渡受讓人張OO 平轉,RPVOMLOJJHKGFBN98DA,56.07,0.0,5.46,有,
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮彰美路三段３９８號九樓之７,24.4,,鄉村區,乙種建築用地,1100227,土地2建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131024,122.12,2,2,2,有,有,7270000,59532,坡道平面,0.0,0,原簽約人讓與人楊OO於113年02月06日讓渡受讓人姚OO 林OO 平轉,RPWOMLOJJHKGFBN09DA,56.07,0.0,5.46,有,
