編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPOMLKKKHKGFBH67CC,3,33.40,共有部分主要用途有：管委會使用空間、停車空間、機電設備空間、台電配電室、機房、電信室、水箱間、梯廳、走道、機械室等１０項。,鋼筋混凝土造,110年10月5日,五層,,
RPVOMLSJKHKGFBH98CC,34,17.30,住家用,鋼筋混凝土造,80年2月13日,五層,,
RPXNMLKKKHKGFHH98CC,1,15.47,作業廠房,鋼筋混凝土造,112年8月14日,四層,,
RPXNMLLKKHKGFAH38CC,30,53.29,住家用,鋼筋混凝土造,84年7月14日,十三層,,
RPXNMLLKKHKGFAH38CC,30,8.99,共有部分,鋼筋混凝土造,84年7月14日,十三層,,
RPXNMLLKKHKGFAH38CC,30,3.24,共有部分,鋼筋混凝土造,84年7月14日,十三層,,
RPXNMLLKKHKGFAH38CC,30,2.01,共有部分,鋼筋混凝土造,84年7月14日,十三層,,
RPXNMLLKKHKGFAH38CC,30,.17,共有部分,鋼筋混凝土造,84年7月14日,十三層,,
RPOOMLLKKHKGFAH57CC,15,185.71,住家用,鋼筋混凝土造,98年10月5日,十三層,,
RPOOMLLKKHKGFAH57CC,15,70.25,本共有部份之項目有：集合住宅（附屬防空避難室兼停車空間、附屬停車空間、附屬有頂蓋開放空間，公共服務空間、附屬公共服務空間、附屬樓梯間、機房、附屬水箱）等項目。,鋼筋混凝土造,98年10月5日,十三層,,
RPOOMLLKKHKGFAH57CC,15,38.68,本共有部份之項目有：集合住宅（附屬防空避難室兼停車空間、附屬停車空間）等項目。,鋼筋混凝土造,98年10月5日,十三層,,
RPSPMLLKKHKGFAH08CC,5,254.25,一般事務所／辦公室,鋼筋混凝土造,109年4月10日,十二層,,
RPSPMLLKKHKGFAH08CC,5,300.29,本共有部分之項目有：停車空間兼防空避難室、機房、停車空間、店鋪／日常用品零售業（附屬管委會使用空間）、一般事務所／辦公室（附屬管委會使用空間）、樓電梯間、水箱、樓梯間等項。,鋼筋混凝土造、鋼骨造,109年4月10日,十二層,,
RPRPMLLKKHKGFAH97CC,24,53.05,住家用,鋼筋混凝土造,89年8月31日,十四層,,
RPRPMLLKKHKGFAH97CC,24,15.97,共有部分,鋼筋混凝土造,89年8月31日,十四層,,
RPOOMLKKKHKGFHH18CC,1,15.96,作業廠房,鋼筋混凝土造,112年8月14日,四層,,
RPRNMLLKKHKGFBH87CC,19,78.72,住家用,鋼筋混凝土造,95年6月20日,六層,,
RPRNMLLKKHKGFBH87CC,19,16.62,共有部分,鋼筋混凝土造,95年6月20日,六層,,
RPXPMLLKKHKGFBH68CC,3,39.18,集合住宅,鋼筋混凝土造,110年9月8日,十七層,,
RPXPMLLKKHKGFBH68CC,3,7.40,共有部分主要用途有：集合住宅（附屬管委會使用空間）、大廳、防空避難室兼停車空間、防災中心、發電機室、進氣機房、排氣機房、台電配電場所、裝卸車位、垃圾運送專用車位、來賓停車位、電信室、消防泵浦室、雨水機房、汙水機房等１５項,鋼筋混凝土造,110年9月8日,十七層,,
RPXPMLLKKHKGFBH68CC,3,10.05,共有部分主要用途有：梯廳、排煙室、樓梯間、電梯間、電錶室、垃圾集中儲藏室、水錶室、機房、水箱等９項,鋼筋混凝土造,110年9月8日,十七層,,
RPXPMLLKKHKGFBH68CC,3,3.87,共有部分主要用途有：走廊、梯廳等２項,鋼筋混凝土造,110年9月8日,十七層,,
RPXPMLLKKHKGFAH58CC,18,83.56,住家用,鋼筋混凝土造,95年9月10日,十四層,,
RPXPMLLKKHKGFAH58CC,18,20.90,共有部分,鋼筋混凝土造,95年9月10日,十四層,,
RPXPMLLKKHKGFAH58CC,18,8.44,共有部分,鋼筋混凝土造,95年9月10日,十四層,,
RPWPMLLKKHKGFAH48CC,16,82.75,住家用,鋼筋混凝土造,98年4月10日,十層,,
RPWPMLLKKHKGFAH48CC,16,4.94,共有部分,鋼筋混凝土造,98年4月10日,十層,,
RPWPMLLKKHKGFAH48CC,16,32.09,共有部分,鋼筋混凝土造,98年4月10日,十層,,
RPOOMLLKKHKGFBH67CC,24,92.33,住家用,鋼筋混凝土造,89年10月21日,九層,,
RPOOMLLKKHKGFBH67CC,24,14.13,梯間,鋼筋混凝土造,89年10月21日,九層,,
RPOOMLLKKHKGFBH67CC,24,3.35,店舖、住宅﹝社區活動中心﹞,鋼筋混凝土造,89年10月21日,九層,,
RPOOMLLKKHKGFBH67CC,24,10.88,停車空間、防空避難室,鋼筋混凝土造,89年10月21日,九層,,
RPXNMLLKKHKGFBH48CC,2,81.04,集合住宅,鋼筋混凝土造,111年9月7日,十四層,,
RPXNMLLKKHKGFBH48CC,2,73.14,共有部分之項目有：防空避難室兼停車空間、停車空間、集合住宅（附屬管委會空間）、梯廳、排煙室、梯間、水箱、機械室、電信室、發電機室、垃圾集中處理室、水景機房、台電配電場所、機房、消防設備室、汙水機房、雨水機房等十七項。,鋼筋混凝土造,111年9月7日,十四層,,
RPTOMLLKKHKGFBH18CC,19,20.05,住家用,鋼筋混凝土造,95年5月20日,十層,,
RPTOMLLKKHKGFBH18CC,19,2.50,共有部分,鋼筋混凝土造,95年5月20日,十層,,
RPTOMLLKKHKGFBH18CC,19,6.52,共有部分,鋼筋混凝土造,95年5月20日,十層,,
RPTOMLLKKHKGFBH18CC,19,2.59,共有部分,鋼筋混凝土造,95年5月20日,十層,,
RPSNMLLKKHKGFEH28CC,18,84.64,住家用,鋼筋混凝土造,95年11月5日,十二層,,
RPSNMLLKKHKGFEH28CC,18,57.55,共有部分,鋼筋混凝土造,95年11月5日,十二層,,
RPPNMLLKKHKGFGH18CC,32,85.50,住家用,鋼筋混凝土造,81年12月14日,五層,,
RPPNMLLKKHKGFGH18CC,32,20.06,共有部分,鋼筋混凝土造,81年12月14日,五層,,
RPPNMLLKKHKGFGH18CC,32,2.07,共有部分,鋼筋混凝土造,81年12月14日,五層,,
RPXOMLMKKHKGFAH58CC,20,57.52,住家用,鋼筋混凝土造,94年3月2日,十三層,,
RPXOMLMKKHKGFAH58CC,20,10.48,共有部分,鋼筋混凝土造,94年3月2日,十三層,,
RPXOMLMKKHKGFAH58CC,20,36.14,共有部分,鋼筋混凝土造,94年3月2日,十三層,,
RPXOMLMKKHKGFAH58CC,20,.01,管理員室,鋼筋混凝土造,94年3月2日,十三層,,
RPPNMLMKKHKGFAH67CC,30,111.75,住家用,鋼筋混凝土造,83年8月3日,十六層,,
RPPNMLMKKHKGFAH67CC,30,3.19,共有部分,鋼筋混凝土造,83年8月3日,十六層,,
RPPNMLMKKHKGFAH67CC,30,8.16,共有部分,鋼筋混凝土造,83年8月3日,十六層,,
RPPNMLMKKHKGFHH38CC,48,41.38,住家用,鋼筋混凝土造,66年5月6日,四層,,
RPPNMLMKKHKGFCH87CC,43,77.60,住家用,加強磚造,70年11月4日,二層,,
RPTNMLLKKHKGFCH18CC,3,23.32,一般服務業,鋼筋混凝土造,111年6月14日,十五層,,
RPTNMLLKKHKGFCH18CC,3,21.77,共有部分：管理委員會使用空間、梯間、機械室、消防水箱、水箱、防空避難室兼停車空間、停車空間。,鋼筋混凝土造,111年6月14日,十五層,,
RPWNMLMKKHKGFEH78CC,6,24.86,住家用,鋼筋混凝土造,107年9月14日,五層,,
RPWNMLMKKHKGFEH78CC,6,36.69,共有部分,鋼筋混凝土造,107年9月14日,五層,,
RPQNMLLKKHKGFCH87CC,31,88.26,住家用,鋼筋混凝土造,82年10月15日,五層,,
RPQNMLLKKHKGFCH87CC,31,7.79,共有部分,鋼筋混凝土造,82年10月15日,五層,,
RPPNMLNKKHKGFBH97DC,44,169.17,住家用,鋼筋混凝土造,69年12月11日,五層,,
RPROMLNKKHKGFDH38CC,7,31.00,住家用,鋼筋混凝土造,107年1月26日,五層,,
RPROMLNKKHKGFDH38CC,7,37.04,住宅（附屬樓梯間、水箱）,鋼筋混凝土造,107年1月26日,五層,,
RPPOMLNKKHKGFBH97CC,19,20.00,住家用,鋼筋混凝土造,95年5月20日,十層,,
RPPOMLNKKHKGFBH97CC,19,2.54,共有部分,鋼筋混凝土造,95年5月20日,十層,,
RPPOMLNKKHKGFBH97CC,19,6.52,共有部分,鋼筋混凝土造,95年5月20日,十層,,
RPPOMLNKKHKGFBH97CC,19,2.59,共有部分,鋼筋混凝土造,95年5月20日,十層,,
RPXNMLNKKHKGFBH68CC,19,20.00,住家用,鋼筋混凝土造,95年5月20日,十層,,
RPXNMLNKKHKGFBH68CC,19,2.54,共有部分,鋼筋混凝土造,95年5月20日,十層,,
RPXNMLNKKHKGFBH68CC,19,6.52,共有部分,鋼筋混凝土造,95年5月20日,十層,,
RPXNMLNKKHKGFBH68CC,19,2.59,共有部分,鋼筋混凝土造,95年5月20日,十層,,
RPPNMLMKKHKGFGH28CC,23,90.56,住家用,鋼筋混凝土造,90年8月7日,八層,,
RPPNMLMKKHKGFGH28CC,23,13.01,共有部分,鋼筋混凝土造,90年8月7日,八層,,
RPPNMLMKKHKGFGH28CC,23,18.34,共有部分,鋼筋混凝土造,90年8月7日,八層,,
RPROMLNKKHKGFBH18CC,19,20.05,住家用,鋼筋混凝土造,95年5月20日,十層,,
RPROMLNKKHKGFBH18CC,19,2.50,共有部分,鋼筋混凝土造,95年5月20日,十層,,
RPROMLNKKHKGFBH18CC,19,6.52,共有部分,鋼筋混凝土造,95年5月20日,十層,,
RPROMLNKKHKGFBH18CC,19,2.59,共有部分,鋼筋混凝土造,95年5月20日,十層,,
RPSPMLOKKHKGFBH48CC,12,80.96,集合住宅,鋼筋混凝土造,102年1月15日,十三層,,
RPSPMLOKKHKGFBH48CC,12,.08,本共有部分之項目有：守衛室、主委辦公室等２項。,鋼筋混凝土造,102年1月15日,十三層,,
RPSPMLOKKHKGFBH48CC,12,17.13,本共有部分之項目有：樓梯間、電梯間、機房及水箱等４項。,鋼筋混凝土造,102年1月15日,十三層,,
