編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXPMLPKJHKGFAN76DA,26,7.34,兒童遊戲球池、閱讀室、娛樂室,鋼筋混凝土造,88年2月5日,三層,,持分移轉
RPXPMLPKJHKGFAN76DA,26,68.26,停車空間,鋼筋混凝土造,88年2月5日,四層,,持分移轉
RPXPMLPKJHKGFAN76DA,26,193.49,住家用,鋼筋混凝土造,88年2月5日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPVNMLOKKHKGFDN66DA,31,101.31,住家用,鋼筋混凝土造,82年7月20日,五層,三層 陽台,全筆移轉
RPVNMLOKKHKGFDN66DA,31,13.59,電樓梯,鋼筋混凝土造,82年7月20日,五層,,持分移轉
RPVNMLOKKHKGFDN66DA,31,35.86,避難室、昇降梯,鋼筋混凝土造,82年7月20日,五層,,持分移轉
RPSNMLSKKHKGFBN56DA,,124.77,住家用,鋼筋混凝土造,113年8月29日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPTNMLRKJHKGFFN86DA,43,111.43,住家用,加強磚造,70年7月2日,二層,一層 二層,全筆移轉
RPTNMLNKKHKGFDN98DA,19,143.93,住家用,鋼筋混凝土造,95年4月11日,三層,一層 二層 三層 電梯樓梯間,全筆移轉
RPQNMLLLKHKGFEN68DA,,174.58,住家用,鋼筋混凝土造,113年9月9日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPTNMLQJJHKGFGN76DA,47,111.21,住家用,加強磚造,67年1月13日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPPNMLKLKHKGFHN78DA,,67.49,集合住宅,鋼筋混凝土造,113年11月15日,七層,七層 陽台,全筆移轉
RPPNMLKLKHKGFHN78DA,,25.37,共同使用部份,鋼筋混凝土造,113年11月15日,七層,,持分移轉
RPQNMLKLKHKGFHN88DA,,67.17,集合住宅,鋼筋混凝土造,113年11月15日,七層,七層 陽台,全筆移轉
RPQNMLKLKHKGFHN88DA,,25.37,共同使用部份,鋼筋混凝土造,113年11月15日,七層,,持分移轉
RPRNMLKLKHKGFHN98DA,,67.17,集合住宅,鋼筋混凝土造,113年11月15日,七層,六層 陽台,全筆移轉
RPRNMLKLKHKGFHN98DA,,25.37,共同使用部份,鋼筋混凝土造,113年11月15日,七層,,持分移轉
RPPNMLNKKHKGFFN88EA,18,428.25,店舖、停車空間,鋼骨造,95年7月4日,一層,一層,持分移轉
RPQNMLLLJHKGFAN18DA,,277.10,停車空間、住宅、樓梯間,鋼筋混凝土造,113年5月22日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPQNMLLLJHKGFAN18DA,,1.27,管理室,鋼筋混凝土造,113年5月22日,四層,,持分移轉
RPOOMLRKJHKGFAN58DA,,202.98,住宅、停車空間,鋼筋混凝土造,113年9月9日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRNMLRKJHKGFAN78DA,,171.03,住宅、停車空間,鋼筋混凝土造,113年9月9日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPSNMLRKJHKGFAN88DA,,180.60,住家用,鋼筋混凝土造,113年9月9日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRNMLMJJHKGFAN18DA,,178.78,住宅、停車空間,鋼筋混凝土造,113年9月9日,四層,一層 二層 三層 四層 陽台,全筆移轉
