鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
北屯區,租賃房屋,臺中市北屯區北屯路２８６號１６號之９,0.0,,,,1140122,土地0建物1車位0,十六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850524,36.65,1,0,1,有,有,有,7800,213,,0.0,0,續租案件；,RPWOMLOKKHKGFBB18CC,獨立套房,有,1140306~1150305,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
南屯區,租賃房屋,臺中市南屯區忠勇路２３-２５號５樓,0.0,,,,1140121,土地0建物0車位0,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950628,13.0,35,0,35,有,有,有,5500,423,,0.0,0,租金總額含水費；網路費；,RPTNMLOKKHKGFCB87CC,分租套房,有,1140101~1140625,有,冷氣、熱水器、電視機、網路,一般轉租
西屯區,租賃房屋+車位,臺中市西屯區朝馬路１６８號１９樓之２,0.0,,,,1140124,土地0建物1車位2,十九層,28,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060116,226.57,3,2,2,有,有,有,80000,353,坡道平面,27.67,0,租金總額含管理費；水費；電費；瓦斯費；其他出租人每月負擔台幣四千元之水電瓦斯費，多於金額不退還，超出金額由承租人負擔；,RPPNMLPKKHKGFCB57CC,整棟(戶)出租,有,1140203~1160202,有,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣,
西屯區,租賃房屋+車位,臺中市西屯區朝馬路１６８號１９樓之２,0.0,,,,1140124,土地0建物1車位2,十九層,28,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060116,226.57,3,2,2,有,有,有,80000,353,坡道平面,27.67,0,租金總額含管理費；水費；電費；瓦斯費；其他出租人每月負擔台幣四千元之水電瓦斯費，多於金額不退還，超出金額由承租人負擔；,RPQNMLPKKHKGFCB67CC,整棟(戶)出租,有,1140203~1160202,有,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣,
北區,租賃房屋,臺中市北區梅川東路三段１４７號２樓,0.0,,,,1140121,土地0建物0車位0,二層,5,公寓(5樓含以下無電梯),住宅．機械房,鋼筋混凝土造,0860215,8.09,5,2,3,有,無,有,7500,927,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；,RPPNMLRKKHKGFBB67CC,分租雅房,無,1140201~1150131,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般轉租
北屯區,租賃房屋,臺中市北屯區文心路四段７１５號２樓之２,0.0,,,,1140122,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711110,46.71,2,2,1,有,有,有,15000,321,,0.0,0,,RPWNMLRKKHKGFBB38CC,整棟(戶)出租,無,1140225~1160224,無,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
北區,租賃房屋,臺中市北區國泰街１１１號３樓之３,0.0,,,,1140123,土地0建物1車位0,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830606,48.1,1,1,1,有,有,有,13000,270,,0.0,0,,RPTOMLRKKHKGFBB18CC,整棟(戶)出租,無,1140218~1150217,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
北屯區,租賃房屋,臺中市北屯區文心路四段６７２號２２樓之３１,0.0,,,,1140121,土地0建物1車位0,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841124,30.45,1,0,1,有,有,有,7500,246,,0.0,0,,RPUOMLRKKHKGFBB28CC,獨立套房,有,1140207~1150206,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
北屯區,租賃房屋,臺中市北屯區昌平路二段１５４之１５號５樓A１房,0.0,,,,1140122,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750422,30.41,5,0,5,有,無,有,8500,280,,0.0,0,本層共5個套房，1個套房約9坪大。租賃建物部分範圍，且未計入共有部分面積；,RPVOMLRKKHKGFBB38CC,分租套房,無,1140210~1150209,無,冷氣、熱水器、洗衣機、冰箱,一般代管
北區,租賃房屋,臺中市北區大德街１１９巷１０之１號,0.0,,,,1140123,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681108,56.18,2,2,2,有,無,有,16000,285,,0.0,0,,RPSPMLRKKHKGFBB18CC,整棟(戶)出租,無,1140201~1160131,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
